0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
"""",like,snoop,said,in,94,we,dont,love,these,hoe,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",momma,said,no,pussi,cat,insid,my,doghous,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",most,hate,but,the,hoe,favorit,"""",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",nice,girl,bad,make,me,get,naughty.,bad,yello,hoe,real,nice,body.,down,south,chick,like,em,real,"thick""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",pimp,up,pimp,up,hoe,down,"""",futur,voic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",post,a,pictur,of,that,pussi,get,200,like,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",pussi,is,a,power,drug,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",quick,piec,of,pussi,call,it,a,drive,by,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",run,round,here,like,some,brand,new,pussi,that,bout,to,get,fuck,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",these,bitch,even,worst,theyll,send,them,guy,for,you,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",these,hoe,like,nigga,that,spend,money,not,talk,bout,it,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",we,dont,trust,these,nigga,all,these,bitch,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",yall,nigga,b,cuf,hoe,caus,yall,aint,never,have,bitch,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",you,dodg,a,bullet,"""","""all",da,bitch,i,cut,off,pregnant,or,bound,to,be,....thank,god,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",young,pill,chamberlain,these,bitch,love,my,music,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",teanna,trump,probabl,cleaner,than,most,of,these,twitter,hoe,"but.........""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",gay,nigga,couldnt,wait,to,act,like,bitch,"tonight""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",and,ima,steal,hi,cat,n,replac,it,with,a,pitbul,he,a,bitch,you,should,do,"it""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
""".",he,gone,alway,be,a,"hoe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""...son",of,a,bitch,took,my,tic,"tacs.""",i,like,thi,movie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""..all",i,wanna,do,is,get,money,and,fuck,model,"bitches""",-,russel,simmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",i,probabl,wouldnt,mind,school,as,much,if,we,didnt,have,to,deal,with,bitch,ass,"teachers"".",retweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",im,a,fuck,fag,they,"said""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",femal,think,date,a,pussi,is,cute,now,"""",how,doe,do,thi,stuff,make,him,a,pussi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",-simplyaddictedtoguy,"""",woof,woof,hot,scalli,lad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",have,ya,ever,ask,your,bitch,for,other,bitch,-,kany,"voice""",ye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",how,u,gone,bring,ur,side,bitch,to,a,game,where,you,know,ya,gf,friend,at,"""",i,swear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""","""",woof,woof,and,hot,sole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",lemmi,eat,a,oreo,.,do,these,"dishes.""",one,oreo,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",bitch,fuck,u,"""",mayb,youll,get,better.,just,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",fuck,red,malon,man,bitch,ass,"niggah""",could,you,pleas,use,complet,sentenc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",whi,the,eggplant,emoji,"doe""i",he,say,she,look,like,scream,lmao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",hennessey,venom,gt,"""",that,one,sexi,bitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",him,seh,me,pussi,wetter,then,a,shower,"curtain....""&lt.lmao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",and,everi,need,to,see,that,pic,i,just,post,becaus,that,bitch,just,said,the,most,racist,"shit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",yo,fuck,skateboard,all,yall,some,wood,push,faggot,man,ball,is,life,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",babi,monkey,bathtim,"""",awwww,thi,is,soooo,ador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",i,aint,shit,".""",damn,skippi,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",u,ever,kill,a,ant,on,the,sidewalk,and,think,damn,what,if,that,nigga,wa,on,hi,way,to,get,some,"pussy""no",bs,must,b,&gt.30%chanc,,,,,,,,,,,,,,,,,,,,,,,,
"""","""",0,ring,0,mvp,0,bitch,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",ppl,talk,bad,about,the,ghetto/hood,...,but,as,a,kid,grow,up,a,nigga,had,funnnnnnn,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",the,fact,on,tattoos...tattoo,"""",he,a,pussi,with,not,tattoo,them,nippl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",bitch,be,want,to,act,like,nigga,so,bad,that,shit,aint,"cuteeeee""",but,nigga,act,like,bitches..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",get,worship,bitch,"""",woof,woof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",wow.,im,lost.,are,those,buttcheek,pierc,"""",yeah,she,a,hoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",ok,"sis.""",shed,rather,be,a,broke,bitch,*shrugs*,shell,have,to,tell,me,how,it,work,for,her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""","queer""",gaywad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",faggot,read,my,tweet,after,dat,"k""",it,wasnt,even,funni,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",thi,bitch,wa,so,ungrat,"""",fr,.....,lulwhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",i,been,kidnap,yo,"bitch""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""","alsarabsss""",he,a,beaner,smh,you,can,tell,he,a,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",happi,birthday,"nigs""",thank,yo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",when,ur,teacher,tell,u,that,u,have,homework,"""",thi,bitch,need,to,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""","""",that,nigga,wa,eat,that,hoe,"lol""",hell,yea,lol,john,"paul""",nigga,said,john,paul..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",what,would,yall,lil,ugli,bald,head,bitch,do,if,they,stop,make,make-up,.,"weave""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",leaf,better,win,thi,damn,game,so,i,can,go,riot,and,shit,"""",you,better,start,loot,my,nig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",go,back,to,school,suck,more,dick,than,the,hoe,who,attend,"it.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",on,my,way,to,fuck,yo,bitch,"""",me,as,a,9,year,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",how,come,you,never,bring,me,"food""",i,dont,have,a,car,retard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",if,richnow,doesnt,show,up,with,hella,tinder,hoe,im,not,hi,friend,"anymore""",chill,i,brought,like,like,8,propl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",how,bout,them,"cowboys""",shutup,pussi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",lmaooooooooooo,thi,nigga,"""",&lt.bitch,want,like,for,some,depress,shit..foh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",girl,you,know,i,wa,spit,that,g,shit,to,you,.,you,wa,go,"lbvs""bitch",plz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",let,me,make,a,coupl,tweet,off,cuzzo,page,so,i,wont,get,in,twitter,"jail.""lmao",bitch,dont,trick,me,again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",harlem,shake,is,just,an,excus,to,go,full,retard,for,30,"seconds.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",amen,miley,"""okay",but,she,dont,need,to,act,like,a,hoe,just,bc,she,"""emot","damaged""",foh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",have,one,loyal,femal,is,wayyyyy,better,than,have,hoe,idc,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",pussi,lick,pussy....,meow,meow,".""""""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",check,out,our,12th,man.,"""",even,with,all,those,faggot,ny,fan,in,the,stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",what,happen,to,them,vixen,ent,"bitches""",they,got,ran,and,threw,to,the,side,like,a,foothil,bitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",im,the,bitch,okay,nude,pat,"""",wow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",your,fuck,gay,blacklist,"hoe""",hold,out,for,anyway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",the,fuck,be,wrong,with,these,"bitches""",nobodi,know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",yall,shut,"upp""",make,me,bitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",i,hate,a,"""im","pregnant""",type,of,"bitch.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",got,bitch,in,the,dm,but,i,dont,ever,"readem""",which,is,y,your,top,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",basebal,season,for,the,win.,"""",thi,is,where,the,love,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",littl,stupid,as,bitch,i,dont,fuck,with,"yoooooouuuu..""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",she,realli,ask,me,that,dead,ass,seriou,tho,all,i,could,say,wa,"""bitch","wheet""",lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",im,an,earli,bird,and,im,a,night,owl,so,im,wise,and,have,"worms.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",overdos,on,heavi,drug,doesnt,sound,bad,"tonight.""",i,do,that,pussi,shit,everi,day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",pit,bull,photograph,as,love,fairi,tale,creatur,.,they,*are*,fairi,tale,creatures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""","aw.""",...fag,dont,tweet,"""aw""",to,me,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",as,long,as,the,laker,trash,from,now,on,i,could,careless.,and,that,"real."".",cc,hahaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",i,didnt,say,anyth,"tho""",kiss,me,then,faggot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",thi,the,"""i",play,soccer,cheat,on,girl,and,wear,khaki,colour,"cargos""",haircut,"""",yup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",i,could,go,for,a,fat,ass,bitch,on,my,"lap""",same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",17,miss,call,"""da",yo,p.o,bitch,twitter,finna,be,screamn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",ya,side,bitch,gotta,know,it,rule,to,thi,shit..anybodi,ask,you,my,cousin,from,jersey,thinkin,bout,"moving""",lmmfao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",3,|,amo,lo,pie,".""",fuck,yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",these,hoe,be,think,meat,wont,slap,they,ass,"""",ainna,bruh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",yall,bitch,wit,no,edg,be,do,the,most,talk,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",yall,still,go,trick,or,treat,thi,year,or,"nah""hel",yeah,ima,be,da,sweet,tooth,bandit,steal,bitch,bag,n,shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",i,wanna,have,sex,with,my,mom,fuck,her,right,in,that,pussi,where,i,came,"from""",damn,you,got,hack,like,fuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",if,she,kiss,u,with,her,eye,open,watch,that,"bitch""lmfao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",you,a,woulda,coulda,shoulda,ass,hoe,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",happi,bday,bitch,ass,nigga,"""preciat",that,bitch,roll,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",use,to,send,that,bitch,"up""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",ugli,bitch,be,like,im,my,own,wcw,duh,bitch,you,aint,nobodi,"elses""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",nigga,you,know,we,hacki,sack,"hoes.""",...nah,i,throw,no,look,pass,lmao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",glad,im,get,outta,atlanta.,noth,but,a,bunch,of,nigga,in,.,outta,jail,.,dumb,bitch,with,mad,kid,fuckin,"em.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",thi,isnt,ghetto.....it,smart,"""",im,do,thi,idc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",i,would,wife,a,hoe,onli,cuz,we,wouldnt,care,that,we,cheat,in,each,"other.""",...whi,forc,the,relationship,in,the,first,place,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",be,singl,isnt,an,excus,to,be,a,"hoe.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",white,boy,power,"bitch""",black,power,bitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",let,get,drunk,get,blow,spit,shit,spark,blunt,.,fuck,"hoes""",bro,white,dude,have,no,chill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",bitch,where,u,"been""",around,the,world,and,back.,where,you,been,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",if,i,dont,get,my,dick,suck,at,yo,parti,by,a,bad,bitch,im,fr,gone,set,it,off,"""",*bi,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",is,soooo,cute.,but,he,probabl,ha,hoe,on,him,a,"lot.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",in,everi,cartoon,their,alway,a,save,these,hoe,lmao.,"""",lmao,damn,captain,saveaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",who,want,to,get,there,nose,in,these,bad,boi,then,"""",hot,sox,and,leg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",i,wish,i,wa,a,bitch,like,my,brother,keezi,"""",ooooow,i,bet,you,do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",if,you,dress,up,as,a,cat,for,halloween,you,are,"basic.""",...or,a,pussi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",can,pornhub,just,get,a,game,stream,featur,so,these,dumb,bitch,can,"gtfo""",get,on,it,katie&lt.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",stop,be,scare,to,choke,her,dure,sex,u,bitch,ass,niggas.,shell,like,"it."".",say,the,guy,who,hit,women,out,of,bed.,foh,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",ha,well,iguess,i,make,them,hoe,loyal,"bro""",theyll,never,be,loyal,that,y,they,hoe,my,nig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",oh,man..,"""it",5,am,you,off,a,molli,ho,where,the,fuck,ya,seed,"at""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",your,not,a,man,if,you,refer,to,everi,girl,as,a,"bitch""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",lmfao,thi,cat,start,beat,the,shit,out,of,"me""",my,nigga,final,got,some,pussi,my,nigga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",peel,up,peel,up,bring,it,back,up,rewind,back,where,im,from,they,move,shaq,from,the,"line""",ooooow,who,tf,said,that,trash,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",io,io,alu,record,ho,vine,sai,pe,"hahahaha""",lol,anywaaaaaays.....,haha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",naw,it,my,old,tape.,new,cover,.,my,upcom,mixtap,is,"""",yeah,im,wait,on,that,hoe,mayn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",ol,dirti,foot,ass,"bitches..""",thi,wa,too,funni,to,me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",that,where,i,get,my,yellow,flag,for,be,amaz,"""",hell,yeah,niggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",dont,got,time,for,bitch,to,be,actin,"iffy.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",come,on,stay,aliv,knight,"nation""",thi,is,still,the,earli,bird,special.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",these,hoe,aint,loyal,.,no,they,aint,"""",smfh,.,wonder,whi,nobodi,decent,want,them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",bruh,you,stud,keep,think,im,soft,as,hell.,ask,ya,girl,how,mani,time,she,scream,she,wa,my,bitch.,oh,okay.,"stfu.""",bye,hoe,,,,,,,,,,,,,,,,,,,,,,,,,
"""",dri,pussi,bitch,alway,blame,it,on,the,"condom""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",shut,yo,bitch,ass,up,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",gucci,mane,in,jail,and,drop,mixtap,everi,month,and,you,hoe,cant,even,text,"back""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",you,love,these,hoe,more,then,money,wat,wrong,these,"niggas""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",a,loyal,bitch,from,the,burb,without,daddi,issu,is,like,find,a,holograph,"mewtwo.""",...sound,like,me,over,there,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",easi,cum,easi,"hoe""",that,a,fact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",charli,sheen,is,too,real,"""",major,fuck,respect,for,charli,sheen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",wish,i,had,a,bae,"""",you,got,all,the,hoe,tho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",fuck,twerk,bitch,can,you,cook,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",bitch,"wtf""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
